what,kind,bundleId,bundleVersion,description,time
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1289883413659
os,sysinfo,,,"linux",1289883413663
arch,sysinfo,,,"x86_64",1289883413663
ws,sysinfo,,,"gtk",1289883413663
locale,sysinfo,,,"en_US",1289883413663
processors,sysinfo,,,"8",1289883413663
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1289883413663
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1289883413663
java.specification.name,sysinfo,,,"Java Platform API Specification",1289883413663
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289883413663
java.specification.version,sysinfo,,,"1.6",1289883413663
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289883413663
java.version,sysinfo,,,"1.6.0_18",1289883413663
java.vm.info,sysinfo,,,"mixed mode",1289883413663
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1289883413663
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289883413663
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289883413664
java.vm.specification.version,sysinfo,,,"1.0",1289883413664
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289883413664
java.vm.version,sysinfo,,,"14.0-b16",1289883413664
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.ui",1289883446543
started,bundle,org.eclipse.wst.web.ui,1.1.301.v201001252130,"org.eclipse.wst.web.ui",1289883446545
started,bundle,org.eclipse.jpt.ui,2.0.102.v200810220200,"org.eclipse.jpt.ui",1289883446561
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1289883446657
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1289883446675
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1289883446695
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1289883446713
started,bundle,org.eclipse.jst.common.frameworks,1.1.301.v201001252130,"org.eclipse.jst.common.frameworks",1289883447162
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,"org.eclipse.jpt.core",1289883447265
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.1.v200912011928,"org.eclipse.jst.common.project.facet.ui",1289883447516
started,bundle,org.eclipse.datatools.connectivity,1.1.3.v201001230803,"org.eclipse.datatools.connectivity",1289883447618
started,bundle,org.eclipse.jpt.db,1.1.3.v200810160200,"org.eclipse.jpt.db",1289883447622
